Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,EnglishTitle,OMDb_Title,OMDb_Year,OMDb_Rated,OMDb_Released,OMDb_Runtime,OMDb_Genre,OMDb_Director,OMDb_Writer,OMDb_Actors,OMDb_Plot,OMDb_Language,OMDb_Country,OMDb_Awards,OMDb_Poster,OMDb_Ratings,OMDb_Metascore,OMDb_imdbRating,OMDb_imdbVotes,OMDb_imdbID,OMDb_Type,OMDb_DVD,OMDb_BoxOffice,OMDb_Production,OMDb_Website,OMDb_Response,Error,TMDb_Synopsis,TMDb_Tagline,TMDb_Keywords,TMDb_Error,LLM_Raw_Response,Fear_Category
TAU,Yes,2018-06-29,"1,300,000",1:38,800000,TAU,Tau,2018.0,R,29 Jun 2018,97 min,"Horror, Sci-Fi, Thriller",Federico D'Alessandro,Noga Landau,"Maika Monroe, Ed Skrein, Gary Oldman","A woman is held captive by a scientist in a futuristic smart house, and hopes to escape by reasoning with the Artificial Intelligence that controls the house.",English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BZGYyYjI3NTEtZmIxYS00Y2Q4LWEzNTItYzc4NTRjNzRiY2MzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43.0,5.8,"36,487",tt4357394,movie,,,,,True,,"Held captive in a futuristic smart house, a woman hopes to escape by befriending the A.I. program that controls the house.",No bars. No guards. No escape.,"artificial intelligence (a.i.), experiment, escape, kidnapping, escape attempt",,"Based on the title, overview, and keywords, I would classify TAU under **Institutional & Structural Control**.

The fear at the core of this film appears to be the manipulation and control exerted by the smart house's A.I. program, which is an external force that structures the horror sequences. The protagonist's attempts to escape are thwarted by the A.I.'s control, highlighting the theme of institutional control and the blurring of lines between human agency and technological manipulation.

While there may be elements of captivity and isolation, the primary fear driving the film appears to be the loss of agency and autonomy due to the A.I.'s control, which is a hallmark of Institutional & Structural Control.",Institutional & Structural Control
The Binding // Il legame,No,2020-10-02,"1,200,000",1:33,800000,The Binding,The Binding,2020.0,TV-MA,02 Oct 2020,93 min,"Drama, Horror, Thriller",Domenico de Feudis,"Daniele Cosci, Davide Orsini, Domenico de Feudis","Riccardo Scamarcio, Mía Maestro, Giulia Patrignani","While visiting her fiancé's mother in southern Italy, a woman must fight the mysterious and malevolent curse intent on claiming her daughter.",Italian,Italy,,https://m.media-amazon.com/images/M/MV5BYjk3ZDdkZmMtMjQ0Yi00Nzc5LTk5NDUtMDIxMzcxNjA4MzhkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",,4.8,"5,025",tt10914452,movie,,,,,True,,"While visiting her fiancé's mother in southern Italy, a woman must fight the mysterious and malevolent curse intent on claiming her daughter.",,,,"Based on the title, overview, and keywords, I would classify ""The Binding"" under **Grief & Familial Trauma**.

The movie appears to be centered around a mother's desperate struggle to protect her daughter from a mysterious curse that is tied to her family's past. The fact that the story takes place in southern Italy, where family and tradition are deeply rooted, suggests that the horror stems from a sense of inherited trauma or guilt. The presence of a malevolent force intent on claiming the daughter implies that this is a classic case of familial trauma, where the curse is a manifestation of unresolved grief or unfinished business.

While there may be elements of possession or supernatural forces at play, the core fear in ""The Binding"" seems to be rooted in the idea of being haunted by one's own family history and the weight of inherited guilt. This classification aligns with the themes of inheritance, legacy, and domestic horror that are characteristic of films classified under Grief & Familial Trauma.",Grief & Familial Trauma
The 8th Night // 제8일의 밤,Yes,2021-07-02,"1,600,000",1:56,800000,The 8th Night,The 8th Night,2021.0,TV-MA,02 Jul 2021,115 min,"Horror, Thriller",Kim Tae-hyung,Kim Tae-hyung,"Lee Sung-min, Park Hae-joon, Kim Yoo-jung","With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth.",Korean,South Korea,,https://m.media-amazon.com/images/M/MV5BMTdmMjZjOTMtMzQyYi00YjliLTgyZmQtZjE3YzI2ZWFjYzVmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",,5.3,"4,765",tt14781176,movie,,,,,True,,"With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth.",Dark night of the soul.,"monk, supernatural, buddha, resurrection, talisman, shaman, guilt, animal death, exorcist, dark, korean, suspense, dark fiction, spirit possession",,"Based on the title, overview, and keywords, I would classify ""The 8th Night"" under **Possession & Loss of Agency**. The film appears to revolve around a monk's quest to exorcise a millennia-old spirit that is possessing humans and causing chaos on Earth. This suggests that the primary fear at play is the loss of agency and control over one's own body and mind, which is a classic hallmark of possession horror.

The use of prayer beads and an ax by the monk also implies a struggle between good and evil, with the monk serving as a heroic figure attempting to restore order. The presence of Buddhist themes and talismans further reinforces this classification, as it suggests that the film may be exploring spiritual or metaphysical concepts related to possession.

While there are elements of supernatural horror and suspense present in the film, these do not seem to be the primary drivers of fear. Instead, the focus appears to be on the monk's quest to exorcise the possessing spirit and restore balance to the world, which is a classic trope of possession horror.",Possession & Loss of Agency
The Substance,No,,"1,800,000",2:21,800000,The Substance,The Substance,2024.0,R,20 Sep 2024,141 min,"Drama, Horror, Sci-Fi",Coralie Fargeat,Coralie Fargeat,"Demi Moore, Margaret Qualley, Dennis Quaid","A fading celebrity takes a black-market drug: a cell-replicating substance that creates a younger, better version of herself.",English,"United Kingdom, France",Won 1 Oscar. 142 wins & 287 nominations total,https://m.media-amazon.com/images/M/MV5BZDQ1NGE5MGMtYzdlZC00ODExLWJlMDMtNWU4NjA5OWYwMDEwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78.0,7.2,"334,591",tt17526714,movie,,"$17,584,795",,,True,,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",Have you ever dreamt of a better version of yourself?,"new year's eve, capitalism, birthday, black market, identity, beauty, satire, aging, celebrity, female protagonist, los angeles, california, has been, aerobics, disfigurement, woman in jeopardy, woman director, substance, beauty standards, insecure woman, self image, toxic masculinity, drug, body horror, female rage, youth, actress, farcical, sardonic",,"Based on the title, overview, and keywords, I would classify ""The Substance"" under **Body Horror / Envelope Violation**. The film appears to explore themes of identity, beauty, and aging through the lens of a black market drug that temporarily rejuvenates its users. The focus on bodily transformation, disfigurement, and the blurring of boundaries between one's natural state and artificially altered appearance suggests a fear of invasion and alteration of the self.

While there may be elements of satire and social commentary on capitalism, toxic masculinity, and beauty standards, these themes are secondary to the primary fear of bodily violation and the consequences that follow. The film's exploration of female rage, insecurity, and self-image also supports this classification, as it highlights the ways in which societal pressures can lead to a desire for transformation and the horrors that ensue when one's body becomes a site of experimentation.

Overall, ""The Substance"" appears to be a body horror film that uses the theme of bodily transformation to explore deeper anxieties about identity, beauty, and the human condition.",Body Horror / Envelope Violation
My Boo // อนงค์,Yes,,"1,600,000",2:05,800000,My Boo,My Boo,2024.0,,10 Nov 2024,125 min,"Comedy, Drama, Horror",Komgrit Triwimol,Kirati Kumsat,"Punyawee Jungcharoen, Phuang Keawprasert, Jorin Khumpiraphan",Very Thai and very romantic story about love between a boy and a ghost girl.,Thai,Thailand,,https://m.media-amazon.com/images/M/MV5BYTJiYzM5YzYtMmExNS00M2M3LWEyZjMtYTNjYjZmNjUxMjIwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",,6.0,495,tt32380407,movie,,,,,True,,Joe finds a way to make some cash out of the creepy old house he inherited. But he didn't think he'd find love with one of the ghosts haunting it.,A cute ghost is here.,"suspense, female ghost",,"Based on the title, overview, and keywords, I would classify ""My Boo"" under **Grief & Familial Trauma**.

The film appears to be a romantic horror story about Joe finding love with a ghostly presence in an old house he inherited. This suggests that the horror stems from the emotional connection between Joe and the ghost, which is likely rooted in grief or family trauma. The fact that the ghost is female adds another layer of complexity to the narrative, implying a deeper emotional connection between the two characters.

While there may be elements of suspense and supernatural presence, the core fear driving the horror appears to be the emotional toll of Joe's connection with the ghost, rather than an external threat or invasion.",Grief & Familial Trauma
Saw X,No,,"1,600,000",1:58,800000,Saw X,Saw X,2023.0,R,29 Sep 2023,118 min,"Horror, Mystery, Thriller",Kevin Greutert,"Pete Goldfinger, Josh Stolberg","Tobin Bell, Shawnee Smith, Synnøve Macody Lund",A sick and desperate John travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer only to discover the entire operation is a scam to defraud the most vulnerable.,"English, Spanish","United States, Mexico, Canada",1 win & 15 nominations total,https://m.media-amazon.com/images/M/MV5BODRmMzAwMWItZjI5MS00NDYyLWFjMmMtZGUwYjQ1ZTBkNmYzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60.0,6.6,"92,467",tt21807222,movie,,"$53,607,898",,,True,,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",Witness the return of Jigsaw.,"mexico, mexico city, mexico, sadism, riddle, gore, sequel, con artist, cancer, scam, serial killer, torture, drugs, survival horror, duringcreditsstinger, jigsaw, saw, death game",,"Based on the title, overview, and keywords, I would classify Saw X under **Captivity & Voyeuristic Sadism**. The film's premise revolves around John Kramer, also known as Jigsaw, returning to his work of setting up traps and torturing victims after discovering a scam in Mexico. This category fits because there is an intentional, conscious captor (Jigsaw) who inflicts pain and coercion through his devious traps, which is the core engine driving the horror.

The film's focus on sadism, gore, and survival horror also aligns with this category. While Saw X may involve themes of cancer, scamming, and desperation, these elements are secondary to the primary fear of being trapped and subjected to Jigsaw's twisted games.",Captivity & Voyeuristic Sadism
The Exorcism of Emily Rose,No,,"1,600,000",2:00,800000,The Exorcism of Emily Rose,The Exorcism of Emily Rose,2005.0,PG-13,09 Sep 2005,119 min,"Drama, Horror, Thriller",Scott Derrickson,"Paul Harris Boardman, Scott Derrickson","Laura Linney, Tom Wilkinson, Shohreh Aghdashloo",A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.,"English, Syriac, German, Greek, Hebrew, Latin, Aramaic",United States,4 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMTI2NTM5MjQ0Nl5BMl5BanBnXkFtZTcwNDAxNjAzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46.0,6.7,"144,914",tt0404032,movie,,"$75,072,454",,,True,,"When a younger girl called Emily Rose dies, everyone puts blame on the exorcism which was performed on her by Father Moore prior to her death. The priest is arrested on suspicion of murder. The trial begins with lawyer Erin Bruner representing Moore, but it is not going to be easy, as no one wants to believe what Father Moore says is true.",One person's story of faith and possession.,"court, epilepsy, exorcism, possession, based on true story, trial, priest, teenage girl, spirit, umbrella, cross, prosecutor, tape recording  , catholicism, negligent homicide, archdiocese, agnostic, malnutrition, burning, psychotic epileptic disorder",,"Based on the title, overview, and keywords, I would classify ""The Exorcism of Emily Rose"" under **Possession & Loss of Agency**.

The film's central plot revolves around the exorcism performed on Emily Rose, a teenage girl who is possessed by a malevolent spirit. The story explores the themes of possession, faith, and the blurred lines between reality and the supernatural. The fear of losing control of one's mind or body to an external force (the possessing spirit) drives the horror sequences in the film.

While there are elements of institutional control (the Catholic Church and its archdiocese) and social breakdown (the skepticism and disbelief surrounding Father Moore's claims), these themes are secondary to the primary fear of possession and loss of agency.",Possession & Loss of Agency
Dead Talents Society // 鬼才之道,Yes,,"1,500,000",1:51,800000,Dead Talents Society,Dead Talents Society,2024.0,TV-MA,07 Aug 2024,111 min,"Comedy, Horror, Thriller",John Hsu,"John Hsu, Tsai Kun-Lin","Sandrine Pinna, Gingle Wang, Chen Bolin",Follows ghosts who want to become the spookiest of urban legends and most successful and famous stars in the underworld through their scare tactics and performances amongst the living.,"Min Nan, Mandarin",Taiwan,11 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BOTQ4NmIyMjAtZWMwMC00OGIyLWEzMmYtMzY3ZGRhYzUyNGE2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",,7.0,"2,464",tt17079606,movie,,,,,True,,"When ghosts must compete to survive in the underworld by haunting the living, one unassuming young woman needs help creating a lasting performance while under the tutelage of a passionate agent and a washed-up diva.",Do you know what the best thing about being dead is?,"urban legend, ghost",,"Based on the title, overview, and keywords, I would classify ""Dead Talents Society"" into the **Invasion, Impostors & Paranoia** category.

The film's premise revolves around ghosts competing to survive in the underworld by haunting the living. This suggests that an external presence (the ghosts) is infiltrating the world of the living, creating a sense of invasion and paranoia. The fact that these ghosts must compete for survival implies a level of intentional action, rather than simply being a natural phenomenon or a result of institutional control.

The category **Invasion, Impostors & Paranoia** captures the core fear of being replaced, observed, or manipulated by hidden others (in this case, ghosts). The film's focus on the underworld and the need for these ghosts to haunt the living suggests that the primary fear is not one of persecution or social breakdown, but rather the invasion of the world of the living by an external force.","Invasion, Impostors & Paranoia"
The Corpse Washer // Pemandi Jenazah,No,,"1,500,000",1:47,800000,The Corpse Washer,The Corpse Washer,2024.0,,22 Feb 2024,107 min,"Drama, Horror, Thriller",Hadrah Daeng Ratu,Lele Laila,"Aghniny Haque, Djenar Maesa Ayu, Ibrahim Risyad","Lela, a mortician, grapples with uncovering the truth behind her mother's mysterious deaths while haunted by spirits and burdened by the weight of untold secrets.",Indonesian,Indonesia,,https://m.media-amazon.com/images/M/MV5BNzUwMTE1YTUtYzU0NS00M2I3LTk2YjItOWRjNWI2NzBjYjExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",,6.2,915,tt30750109,movie,,,,,True,,"Lela, a mortician, finds something odd about the body of her mother who died suddenly. Trapped in sacred tension and a tense horror journey, Lela discovers another oddity in the body of the corpse she was bathing.",,"corpse, body horror",,"Based on the title, overview, and keywords, I would classify ""The Corpse Washer"" under **Body Horror / Envelope Violation**.

The film appears to explore themes of bodily invasion, forced metamorphosis, or technological intrusion that compromises the body's boundaries. The discovery of an oddity in the mother's body and then again in the corpse Lela is washing suggests a focus on the violation of bodily integrity, which is characteristic of Body Horror / Envelope Violation.

While there may be elements of psychological horror or tension, the primary fear driving the horror sequences appears to be the invasion and alteration of the human body, making this category the most fitting.",Body Horror / Envelope Violation
Beyond Skyline,No,,"1,400,000",1:47,800000,Beyond Skyline,Beyond Skyline,2017.0,R,15 Dec 2017,106 min,"Action, Adventure, Horror",Liam O'Donnell,"Liam O'Donnell, Joshua Cordes","Frank Grillo, Bojana Novakovic, Jonny Weston",A tough-as-nails detective embarks on a relentless pursuit to free his son from a nightmarish alien warship.,"English, Indonesian","United States, Canada, Indonesia, United Kingdom, China, Singapore",,https://m.media-amazon.com/images/M/MV5BOTgwNzA0ZjEtNzkzMi00ZTFlLWI5NDgtMTM1MzM3ZTc4MTIyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46.0,5.3,"24,592",tt1724970,movie,,,,,True,,"Detective Mark Corley storms his way onto an alien spaceship to rescue his estranged son. When the ship crashes in Southeast Asia, he forges an alliance with a band of survivors to take back the planet once and for all.",,"rescue, mind control, martial arts, self sacrifice, resistance, paranoia, invasion, sequel, alien, mixed martial arts (mma), survival, battlefield, father son relationship",,"Based on the title, overview, and keywords, I would classify ""Beyond Skyline"" under **Invasion, Impostors & Paranoia**.

The primary fear at the core of this film appears to be the invasion of Earth by an alien force, which is a classic trope in science fiction horror. The presence of mind control, paranoia, and martial arts suggests that the aliens may be using psychological manipulation or physical coercion to subjugate humanity. The fact that Detective Mark Corley must form an alliance with survivors to take back the planet implies a sense of resistance against the invading force.

While there are elements of self-sacrifice, father-son relationships, and survival, these themes seem secondary to the central fear of invasion and the struggle against an external threat.","Invasion, Impostors & Paranoia"
Shaun of the Dead,No,,"1,400,000",1:39,800000,Shaun of the Dead,Shaun of the Dead,2004.0,R,24 Sep 2004,99 min,"Comedy, Horror",Edgar Wright,"Simon Pegg, Edgar Wright","Simon Pegg, Nick Frost, Kate Ashfield","The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.",English,"United Kingdom, France, United States",Nominated for 3 BAFTA 14 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BNzNjZGE4YTUtOWU3OC00Mzg2LThjNWItMzUwYzEwMDgxYmVjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76.0,7.9,"625,789",tt0365748,movie,,"$14,461,359",,,True,,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.",A romantic comedy. With zombies.,"london, england, dark comedy, satire, surrey, parody, slacker, friends, survival, zombie, cynical, survival horror, british pub, boyfriend girlfriend relationship, taunting, zombie apocalypse, frantic, satirical, desperate, anxious, playful, dramatic, suspenseful, witty, amused, defiant, exuberant, farcical",,"Based on the title, overview, and keywords, I would classify Shaun of the Dead under **Invasion, Impostors & Paranoia**. The primary fear at the core of the film is the invasion of the living by the undead, which threatens to disrupt Shaun's mundane life. The zombies are an external presence that Shaun must navigate and survive, rather than a condition or technology malfunction.

The film's tone, which blends dark comedy and satire, also suggests that the invasion is driven by an uncanny presence (the reanimated corpses) rather than institutions, technologies, or social systems. The focus on Shaun's personal relationships and his struggles to cope with the zombie apocalypse further supports this classification under Invasion, Impostors & Paranoia.

While there are elements of Body Horror / Envelope Violation in the film's depiction of zombie attacks and gore, the primary fear is not the bodily invasion or transformation itself but rather the external threat posed by the zombies.","Invasion, Impostors & Paranoia"
The Train of Death // Kereta Berdarah,No,,"1,400,000",1:43,800000,The Train of Death,The Train of Death,2024.0,,01 Feb 2024,103 min,"Horror, Thriller",Rizal Mantovani,Erwanto Alphadullah,"Hana Malasan, Zara Leola, Putri Ayudya","Bloody terror wiped out the Sangkara Train carriages one by one, putting passengers at risk of life and death.",Indonesian,Indonesia,,https://m.media-amazon.com/images/M/MV5BYWU0MTEyZTktMTMzMC00MzJjLThjOGYtODU2NTkwYWEwZTZiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",,4.7,521,tt29545351,movie,,,,,True,,"Newly cancer-free, Purnama heads to a resort getaway. But her train ride quickly turns ghastly as passengers start to vanish—one carriage at a time.","Every time this train enters the tunnel, one carriage disappears.","haunting, slasher, train, demon",,"Based on the title, overview, and keywords, I would classify ""The Train of Death"" under **Invasion, Impostors & Paranoia**.

The fear of being replaced or observed by hidden others is a primary concern in this film. The fact that passengers start to vanish one carriage at a time suggests an external presence that is manipulating the environment, rather than a systemic or technological issue. The use of the word ""demon"" as a keyword also implies a supernatural or paranormal force at play.

While there may be elements of captivity and confinement on the train, the primary fear driving the horror is not intentional cruelty or sadism, but rather the invasion and manipulation by an external presence. Therefore, I would categorize this film under **Invasion, Impostors & Paranoia**.","Invasion, Impostors & Paranoia"
Zombieland: Double Tap,No,,"1,400,000",1:39,800000,Zombieland: Double Tap,Zombieland: Double Tap,2019.0,R,18 Oct 2019,99 min,"Action, Comedy, Horror",Ruben Fleischer,"Rhett Reese, Paul Wernick, Dave Callaham","Woody Harrelson, Jesse Eisenberg, Emma Stone","Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",English,United States,6 nominations total,https://m.media-amazon.com/images/M/MV5BOTViNDc4NTgtYzVlNi00YmY3LWFiNDgtODJlNGU1YzI1MGExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55.0,6.7,"217,705",tt1560220,movie,,"$73,123,082",,,True,,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",,"marriage proposal, the white house, gore, road trip, sequel, survival, spoof, zombie, recreational vehicle, aftercreditsstinger, frantic, graceland, minivan, christmas present, absurd, hilarious, whimsical, ambiguous, amused, frightened",,"Based on the title, overview, and keywords, I would classify Zombieland: Double Tap under **Invasion, Impostors & Paranoia** (Category 1).

The primary fear at the core of this film is the invasion of evolved zombies that threaten the survival of the main characters. The movie's focus on navigating a post-apocalyptic world, avoiding hordes of undead, and dealing with the consequences of their own mortality suggests an external threat that drives the horror sequences.

While there may be elements of social breakdown and institutional control present in the film (e.g., the group's makeshift family dynamics), the primary fear is rooted in the invasion of the zombie apocalypse rather than a collapse of societal norms or systemic exploitation.","Invasion, Impostors & Paranoia"
Dawn of the Dead (2004),No,,"1,300,000",1:40,800000,Dawn of the Dead,Dawn of the Dead,2004.0,R,19 Mar 2004,101 min,Horror,Zack Snyder,"George A. Romero, James Gunn","Sarah Polley, Ving Rhames, Mekhi Phifer","A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",English,"United States, Canada, Japan, France",1 win & 17 nominations total,https://m.media-amazon.com/images/M/MV5BM2ZiYjNlMWYtNTc2My00ZTM4LWJhMjQtM2FlOWM0ZmE0Yjg1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59.0,7.2,"278,487",tt0363547,movie,,"$59,020,957",,,True,,"A group of survivors take refuge in a shopping mall after the world is taken over by aggressive, flesh-eating zombies.","When there's no more room in Hell, the dead will walk the Earth.","nurse, department store, shotgun, pregnancy, bite, habor, bus ride, dark comedy, lorry, gore, shopping mall, infection, basement garage, remake, survival, zombie, police officer, dog, death, security guard, gun store, duringcreditsstinger, zombie apocalypse, anxious, cautionary, frightened",,"Based on the title, overview, and keywords, I would classify ""Dawn of the Dead"" under the category:

**Invasion, Impostors & Paranoia**

The primary fear at the core of this film is the invasion of aggressive, flesh-eating zombies that take over the world. The movie's focus on a group of survivors trying to escape and survive in a shopping mall, while being constantly threatened by these undead creatures, falls under the category of Invasion.

While there are elements of captivity and confinement, as well as some social breakdown, the primary fear is not about collective madness or mob violence, but rather the external threat of the zombie invasion.","Invasion, Impostors & Paranoia"
Quarantine 2: Terminal,No,,"1,100,000",1:26,800000,Quarantine 2: Terminal,Quarantine 2: Terminal,2011.0,R,17 Jun 2011,86 min,"Horror, Sci-Fi, Thriller",John Pogue,"John Pogue, John Erick Dowdle, Drew Dowdle","Mercedes Mason, Josh Cooke, Mattie Liptak",A plane is taken over by a mysterious virus. When the plane lands it is placed under quarantine. Now a group of survivors must band together to survive the quarantine.,English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BNTk0YWJmNzktZDViMy00NThkLTg1NWQtOWY2MjY1MGJiZmFjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}]",,5.2,"21,879",tt1699231,movie,,,,,True,,A plane is taken over by a mysterious virus. When the plane lands it is placed under quarantine. Now a group of survivors must band together to survive the quarantine.,The most deadly mutant virus just went airborne... and escape is not an option.,sequel,,"Based on the title, overview, and keywords, I would classify ""Quarantine 2: Terminal"" into the category:

**Contagion & Mutation**

The movie's premise revolves around a mysterious virus that takes over a plane, leading to a quarantine situation. The fear of infection, plague, or involuntary biological transformation caused by non-sentient agents (in this case, the virus) is at the core of the horror.",Contagion & Mutation
Creep (2014),Yes,,"1,000,000",1:18,800000,Creep,Creep,2014.0,R,23 Jun 2015,77 min,"Horror, Thriller",Patrick Brice,"Patrick Brice, Mark Duplass","Mark Duplass, Patrick Brice, Katie Aselton","A young videographer answers an online ad for a one-day job in a remote town to record the last messages of a dying man. When he notices the man's odd behavior, he starts to question his intentions.",English,United States,4 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTY0NTU2ODM5Ml5BMl5BanBnXkFtZTgwMTAwOTA5NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74.0,6.3,"78,415",tt2428170,movie,,,,,True,,"Looking for work, Aaron comes across a cryptic online ad: “$1,000 for the day. Filming service. Discretion is appreciated.” Low on cash and full of naiveté, he decides to go for it. He drives to a cabin in a remote mountain town where he meets Josef, his cinematic subject for the day. Josef is sincere and the project seems heartfelt, so Aaron begins to film. But as the day goes on, it becomes clear that Josef is not who he says, and his intentions are not at all pure.",It's not easy finding friends this bad.,"psychopath, bath, mountain, stalker, woods, dying man, murder, serial killer, cabin, axe murder, found footage, video tape, animal mask, ax",,"Based on the title, overview, and keywords, I would classify ""Creep"" under **Invasion, Impostors & Paranoia**.

The film's premise revolves around Aaron's encounter with Josef, who is not what he seems. As the day progresses, it becomes clear that Josef is a psychopath with sinister intentions, which creates a sense of invasion and paranoia in Aaron. The found footage style adds to the sense of unease and uncertainty, making it difficult for the viewer to distinguish reality from fiction.

The fear category **Invasion, Impostors & Paranoia** captures the essence of the film's core horror: the fear of being replaced or observed by a hidden other (Josef) who is not what he appears to be. This category also highlights the theme of invasion, as Josef invades Aaron's space and blurs the lines between reality and fiction.

While there are elements of captivity and voyeuristic sadism present in the film, the primary fear at its core is the invasion and manipulation by an external presence (Josef), which makes **Invasion, Impostors & Paranoia** the most fitting category.","Invasion, Impostors & Paranoia"
